System ID,Qty.
210000003117,-1
210000003166,-1
210000003306,-1
210000003337,-1
210000004254,-1
210000004572,-1
210000005095,-1
210000005219,-1
210000005437,-1
210000005450,-1
210000005462,-1
210000005471,-1
210000005474,-1
210000005478,-1
210000005479,-1
210000005481,-1
210000005482,-1
210000005483,-1
210000005647,-1
210000006356,-1
210000006382,-1
210000006447,-1
210000006668,-1
210000006940,-1
210000007044,-1
210000007059,-1
210000007060,-1
210000007133,-1
210000007148,-1
210000007179,-1
210000007183,-1
210000007268,-1
210000007277,-1
210000007308,-1
210000007319,-1
210000007566,-1
210000007704,-1
210000007897,-1
210000008134,-1
210000008157,-1
210000008280,-1
210000008395,-1
210000008437,-1
210000008513,-1
210000008646,-1
210000008824,-1
210000008838,-1
210000008869,-1
210000008897,-1
210000008926,-1
210000008933,-1
210000008940,-1
210000009218,-1
210000009219,-1
210000009254,-1
210000009571,-1
210000009998,-1
210000010031,-1
210000010037,-1
210000010060,-1
210000010100,-1
210000010107,-1
210000010459,-1
210000010495,-1
210000010496,-1
210000010522,-1
210000010556,-1
210000010583,-1
210000010669,-1
210000010677,-1
210000010700,-1
210000010710,-1
210000010785,-1
210000010787,-1
210000010883,-1
210000010890,-1
210000011145,-1
210000011236,-1
210000011237,-1
210000011337,-1
210000011386,-1
210000011516,-1
210000011581,-1
210000011671,-1
210000011866,-1
210000011988,-1
210000012079,-1
210000012089,-1
210000012091,-1
210000012173,-1
210000012257,-1
210000012297,-1
210000012298,-1
210000012332,-1
210000012364,-1
210000012367,-1
210000012368,-1
210000012370,-1
210000012375,-1
210000012382,-1
210000012412,-1
210000012452,-1
210000012596,-1
210000012801,-1
210000012865,-1
210000012975,-1
210000013055,-1
210000013079,-1
210000013103,-1
210000013106,-1
210000013143,-1
210000013309,-1
210000013385,-1
210000013400,-1
210000013404,-1
210000013412,-1
210000013418,-1
210000013544,-1
210000013591,-1
210000013795,-1
210000013814,-1
210000013836,-1
210000013976,-1
210000014018,-1
210000014055,-1
210000014172,-1
210000014215,-1
210000014220,-1
210000014265,-1
210000014313,-1
210000014314,-1
210000014393,-1
210000014432,-1
210000014436,-1
210000014439,-1
210000014536,-1
210000014557,-1
210000014562,-1
210000014628,-1
210000014694,-1
210000014697,-1
210000014740,-1
210000014882,-1
210000014898,-1
210000014909,-1
210000015125,-1
210000015127,-1
210000015188,-1
210000015561,-1
210000015586,-1
210000015594,-1
210000016499,-1
210000016582,-1
210000016663,-1
210000016832,-1
210000016896,-1
210000016900,-1
